go_cpu_count 12
go_gc_duration_seconds{quantile="0"} 0
go_gc_duration_seconds{quantile="0.25"} 0
go_gc_duration_seconds{quantile="0.5"} 0
go_gc_duration_seconds{quantile="0.75"} 0
go_gc_duration_seconds{quantile="1"} 0.000207578
go_gc_duration_seconds_sum 0.000511395
go_gc_duration_seconds_count 6
go_gc_forced_count 0
go_gomaxprocs 12
go_goroutines 81
go_threads 17
go_info{version="go1.19.5"} 1
go_info_ext{compiler="gc", GOARCH="amd64", GOOS="linux", GOROOT=""} 1
process_cpu_seconds_system_total 0.35
process_cpu_seconds_total 1.28
process_cpu_seconds_user_total 0.93
process_major_pagefaults_total 1761
process_minor_pagefaults_total 18272
process_num_threads 16
process_resident_memory_bytes 121528320
process_start_time_seconds 1675978431
process_virtual_memory_bytes 18697945501696
process_virtual_memory_peak_bytes 18697945501696
process_resident_memory_peak_bytes 121528320
process_resident_memory_anon_bytes 65257472
process_resident_memory_file_bytes 56270848
process_resident_memory_shared_bytes 0
process_io_read_bytes_total 60700
process_io_written_bytes_total 58280
process_io_read_syscalls_total 750
process_io_write_syscalls_total 621
process_io_storage_read_bytes_total 0
process_io_storage_written_bytes_total 7270400
